source_file,frame,class_name,confidence,x1,y1,x2,y2
Teste.mp4,57,bed,0.92,6,642,1076,1910
Teste.mp4,58,laptop,0.97,454,853,856,1153
Teste.mp4,58,bed,0.93,7,642,1076,1909
Teste.mp4,59,laptop,0.97,459,856,860,1156
Teste.mp4,59,bed,0.92,6,638,1075,1907
Teste.mp4,60,laptop,0.97,467,853,866,1159
Teste.mp4,60,bed,0.94,6,648,1075,1907
Teste.mp4,61,laptop,0.97,474,854,882,1161
Teste.mp4,61,bed,0.95,6,643,1076,1912
Teste.mp4,62,laptop,0.97,480,855,891,1166
Teste.mp4,62,bed,0.92,4,646,1074,1912
Teste.mp4,63,laptop,0.97,493,859,903,1169
Teste.mp4,63,bed,0.92,7,639,1075,1909
Teste.mp4,64,laptop,0.96,501,860,911,1172
Teste.mp4,64,bed,0.93,5,638,1074,1915
Teste.mp4,65,laptop,0.97,507,858,925,1174
Teste.mp4,65,bed,0.94,5,641,1075,1915
Teste.mp4,66,laptop,0.98,519,858,939,1176
Teste.mp4,66,bed,0.91,7,630,1080,1909
Teste.mp4,67,laptop,0.97,529,859,955,1178
Teste.mp4,67,bed,0.86,6,630,1080,1910
Teste.mp4,68,laptop,0.97,551,855,979,1182
Teste.mp4,68,bed,0.87,5,624,1080,1909
Teste.mp4,69,laptop,0.96,572,854,1004,1183
Teste.mp4,69,bed,0.89,2,609,1080,1918
Teste.mp4,70,laptop,0.97,590,850,1030,1184
Teste.mp4,70,bed,0.84,0,631,1080,1919
Teste.mp4,71,laptop,0.97,611,851,1051,1188
Teste.mp4,71,bed,0.84,7,621,1078,1920
Teste.mp4,72,laptop,0.95,633,845,1078,1191
Teste.mp4,72,bed,0.88,26,583,1080,1911
Teste.mp4,73,laptop,0.95,660,842,1080,1190
Teste.mp4,73,bed,0.88,39,592,1080,1908
Teste.mp4,74,laptop,0.95,688,842,1080,1195
Teste.mp4,74,bed,0.8,72,580,1080,1907
Teste.mp4,75,laptop,0.91,718,842,1080,1200
Teste.mp4,75,bed,0.81,108,522,1080,1920
Teste.mp4,76,laptop,0.91,750,846,1080,1206
Teste.mp4,76,bed,0.8,127,558,1080,1920
Teste.mp4,77,laptop,0.87,793,849,1080,1208
Teste.mp4,77,bed,0.84,169,499,1080,1918
Teste.mp4,78,bed,0.84,176,478,1080,1920
Teste.mp4,78,laptop,0.82,825,852,1080,1209
Teste.mp4,79,bed,0.89,250,469,1080,1920
Teste.mp4,79,laptop,0.33,861,852,1080,1207
Teste.mp4,80,bed,0.83,287,607,1080,1920
Teste.mp4,81,bed,0.79,322,604,1080,1918
Teste.mp4,82,bed,0.84,353,609,1080,1919
Teste.mp4,82,chair,0.3,878,443,1079,635
Teste.mp4,83,bed,0.74,377,599,1080,1920
Teste.mp4,84,bed,0.73,421,588,1079,1918
Teste.mp4,85,bed,0.69,443,575,1079,1917
Teste.mp4,86,bed,0.67,461,564,1080,1915
Teste.mp4,87,bed,0.6,490,546,1079,1916
Teste.mp4,88,bed,0.58,512,537,1080,1916
Teste.mp4,89,bed,0.63,531,531,1080,1912
Teste.mp4,90,bed,0.72,537,520,1079,1914
Teste.mp4,91,bed,0.79,542,514,1079,1915
Teste.mp4,92,bed,0.78,547,509,1079,1915
Teste.mp4,93,bed,0.83,568,504,1080,1911
Teste.mp4,94,bed,0.78,588,495,1080,1914
Teste.mp4,95,bed,0.75,599,492,1080,1911
Teste.mp4,96,bed,0.72,607,488,1080,1912
Teste.mp4,97,bed,0.78,609,488,1080,1910
Teste.mp4,98,bed,0.74,609,487,1080,1910
Teste.mp4,99,bed,0.77,608,486,1080,1912
Teste.mp4,100,bed,0.77,608,488,1080,1912
Teste.mp4,101,bed,0.73,607,488,1080,1912
Teste.mp4,102,bed,0.73,585,497,1080,1912
Teste.mp4,103,bed,0.71,580,500,1080,1912
Teste.mp4,104,bed,0.7,580,502,1080,1912
Teste.mp4,105,bed,0.77,564,502,1080,1914
Teste.mp4,106,bed,0.55,551,501,1080,1912
Teste.mp4,107,bed,0.5,543,496,1079,1910
Teste.mp4,108,bed,0.57,530,491,1079,1909
Teste.mp4,109,bed,0.4,508,487,1079,1910
Teste.mp4,110,bed,0.53,463,480,1078,1909
Teste.mp4,111,bed,0.73,430,470,1080,1897
Teste.mp4,112,bed,0.73,374,466,1080,1907
Teste.mp4,113,bed,0.81,329,456,1080,1907
Teste.mp4,114,bed,0.77,271,466,1079,1909
Teste.mp4,115,bed,0.75,227,458,1080,1907
Teste.mp4,115,laptop,0.59,790,720,1080,1124
Teste.mp4,116,bed,0.8,159,447,1080,1910
Teste.mp4,116,laptop,0.76,734,721,1080,1133
Teste.mp4,117,laptop,0.85,678,716,1080,1142
Teste.mp4,117,bed,0.82,58,406,1080,1912
Teste.mp4,118,bed,0.84,32,361,1076,1913
Teste.mp4,118,laptop,0.82,614,719,1078,1145
Teste.mp4,119,bed,0.9,2,418,1080,1906
Teste.mp4,119,laptop,0.86,562,718,1079,1143
Teste.mp4,120,bed,0.9,0,420,1066,1897
Teste.mp4,120,laptop,0.88,511,720,1054,1135
Teste.mp4,121,laptop,0.9,478,720,1010,1139
Teste.mp4,121,bed,0.9,6,419,1072,1905
Teste.mp4,121,chair,0.46,425,291,780,500
Teste.mp4,122,laptop,0.94,446,725,977,1144
Teste.mp4,122,bed,0.88,5,449,1080,1899
Teste.mp4,122,chair,0.51,386,293,741,502
Teste.mp4,123,laptop,0.91,410,729,941,1146
Teste.mp4,123,bed,0.83,2,429,1080,1920
Teste.mp4,123,chair,0.65,343,298,701,507
Teste.mp4,124,laptop,0.91,376,734,906,1158
Teste.mp4,124,bed,0.76,0,433,1080,1920
Teste.mp4,125,laptop,0.94,343,739,876,1162
Teste.mp4,125,bed,0.82,5,433,1080,1910
Teste.mp4,125,chair,0.59,256,309,614,520
Teste.mp4,126,laptop,0.89,313,754,848,1168
Teste.mp4,126,bed,0.81,5,429,1080,1905
Teste.mp4,126,chair,0.7,206,312,571,526
Teste.mp4,127,laptop,0.92,281,762,816,1175
Teste.mp4,127,bed,0.77,0,470,1080,1920
Teste.mp4,127,chair,0.76,158,315,527,531
Teste.mp4,128,laptop,0.92,267,767,790,1187
Teste.mp4,128,bed,0.79,0,470,1080,1915
Teste.mp4,128,chair,0.69,133,319,497,539
Teste.mp4,129,laptop,0.92,249,779,782,1197
Teste.mp4,129,bed,0.78,0,477,1080,1920
Teste.mp4,129,chair,0.75,108,327,472,547
Teste.mp4,130,laptop,0.9,238,788,770,1200
Teste.mp4,130,bed,0.83,0,479,1080,1920
Teste.mp4,130,chair,0.8,79,335,450,556
Teste.mp4,130,cell phone,0.29,913,735,958,798
Teste.mp4,131,laptop,0.92,221,796,763,1216
Teste.mp4,131,bed,0.81,0,451,1080,1916
Teste.mp4,131,chair,0.68,52,343,425,565
Teste.mp4,131,cell phone,0.29,898,738,941,803
Teste.mp4,132,laptop,0.92,210,810,750,1222
Teste.mp4,132,bed,0.87,0,456,1080,1907
Teste.mp4,132,chair,0.64,26,342,409,571
Teste.mp4,133,laptop,0.92,188,813,726,1227
Teste.mp4,133,bed,0.9,0,463,1080,1910
Teste.mp4,133,cell phone,0.37,852,744,900,805
Teste.mp4,133,chair,0.34,4,347,372,583
Teste.mp4,134,bed,0.91,0,450,1078,1902
Teste.mp4,134,laptop,0.87,166,823,706,1237
Teste.mp4,134,cell phone,0.27,829,744,877,808
Teste.mp4,135,laptop,0.91,148,826,689,1242
Teste.mp4,135,bed,0.88,0,475,1076,1900
Teste.mp4,135,cell phone,0.42,810,745,859,809
Teste.mp4,136,bed,0.91,0,499,1076,1899
Teste.mp4,136,laptop,0.9,133,835,673,1248
Teste.mp4,136,cell phone,0.31,796,744,840,807
Teste.mp4,137,bed,0.92,1,355,1075,1916
Teste.mp4,137,laptop,0.8,99,837,651,1257
Teste.mp4,137,remote,0.35,764,738,819,804
Teste.mp4,138,bed,0.93,9,488,1075,1910
Teste.mp4,138,laptop,0.85,65,841,624,1262
Teste.mp4,139,bed,0.92,0,491,1074,1904
Teste.mp4,139,laptop,0.68,30,840,591,1263
Teste.mp4,140,bed,0.92,0,485,1073,1914
Teste.mp4,140,laptop,0.46,1,846,558,1267
Teste.mp4,140,book,0.45,0,843,555,1270
Teste.mp4,140,chair,0.28,3,352,142,587
Teste.mp4,141,bed,0.92,0,489,1071,1901
Teste.mp4,141,laptop,0.73,0,849,518,1272
Teste.mp4,141,remote,0.5,616,723,674,783
Teste.mp4,142,bed,0.93,0,486,1069,1904
Teste.mp4,142,book,0.49,1,856,475,1286
Teste.mp4,142,remote,0.41,578,718,637,780
Teste.mp4,143,bed,0.92,0,491,1068,1908
Teste.mp4,143,book,0.61,0,867,437,1293
Teste.mp4,144,bed,0.9,1,487,1073,1912
Teste.mp4,144,book,0.72,2,906,399,1301
Teste.mp4,145,bed,0.92,0,497,1070,1908
Teste.mp4,145,book,0.52,4,941,360,1310
Teste.mp4,146,bed,0.93,2,508,1069,1911
Teste.mp4,146,book,0.5,4,966,329,1314
Teste.mp4,147,bed,0.91,3,548,1063,1910
Teste.mp4,148,bed,0.93,3,569,1024,1913
Teste.mp4,149,bed,0.92,1,570,998,1913
Teste.mp4,150,bed,0.89,3,582,962,1910
Teste.mp4,151,bed,0.91,1,613,905,1914
Teste.mp4,152,bed,0.9,1,622,856,1908
Teste.mp4,153,bed,0.92,2,625,826,1909
Teste.mp4,154,bed,0.9,6,630,800,1915
Teste.mp4,155,bed,0.87,0,637,755,1907
Teste.mp4,156,bed,0.88,2,647,715,1909
Teste.mp4,157,bed,0.89,3,654,675,1912
Teste.mp4,158,bed,0.88,4,659,668,1908
Teste.mp4,159,bed,0.83,3,665,604,1908
Teste.mp4,160,bed,0.83,4,671,600,1907
Teste.mp4,161,bed,0.73,4,680,580,1911
Teste.mp4,162,bed,0.66,4,680,525,1912
Teste.mp4,163,bed,0.61,4,685,499,1894
Teste.mp4,164,bed,0.6,3,689,431,1903
Teste.mp4,165,bed,0.59,3,694,415,1904
Teste.mp4,166,bed,0.58,3,700,373,1893
Teste.mp4,167,bed,0.55,2,705,341,1906
Teste.mp4,168,bed,0.57,2,707,323,1900
Teste.mp4,169,person,0.36,2,708,283,1902
Teste.mp4,170,person,0.51,2,715,251,1834
Teste.mp4,171,person,0.61,2,726,227,1641
Teste.mp4,172,person,0.42,4,731,196,1682
Teste.mp4,173,person,0.3,3,746,165,1555
